"species","genus","depth_position","source","DepthPrefMin","DepthPrefMax","SpeciesID","SpecCode"
"hipponix incurvus","hipponix","benthic","fishbase",64,242,"W-Msc-419710",148067
"hipponix benthophila","hipponix","benthic","fishbase",162,355,"W-Msc-419711",147673
"macromphalina palmalitoris","macromphalina","benthic","fishbase",27,84,"W-Msc-419714",3851
"megalomphalus pilsbryi","megalomphalus","benthic","fishbase",6,31,"W-Msc-419719",141119
"macrocypraea cervus","macrocypraea","benthic","fishbase",5,27,"W-Msc-419722",2194
"macrocypraea zebra","macrocypraea","reef","fishbase",15,68,"W-Msc-419723",2195
"propustularia surinamensis","propustularia","benthic","fishbase",102,347,"W-Msc-419724",1997
"cymbovula acicularis","cymbovula","benthic","fishbase",6,31,"W-Msc-419725",3900
"pedicularia decussata","pedicularia","benthic","fishbase",192,532,"W-Msc-419735",3897
"hespererato maugeriae","hespererato","benthic","fishbase",14,60,"W-Msc-419744",2081
"niveria nix","niveria","benthic","fishbase",25,65,"W-Msc-419745",2289
"niveria quadripunctata","niveria","reef","fishbase",5,26,"W-Msc-419746",2291
"niveria suffusa","niveria","reef","fishbase",62,237,"W-Msc-419747",2292
"pusula pediculus","pusula","reef","fishbase",13,63,"W-Msc-419749",2290
"natica castrensis","natica","benthic","fishbase",71,147,"W-Msc-419755",2766
"natica livida","natica","benthic","fishbase",6,33,"W-Msc-419757",4254
"natica perlineata","natica","benthic","fishbase",109,230,"W-Msc-419758",4253
"natica tedbayeri","natica","benthic","fishbase",5,26,"W-Msc-419759",2768
"naticarius canrena","naticarius","reef","fishbase",10,50,"W-Msc-419760",4251
"polinices hepaticus","polinices","benthic","fishbase",1,8,"W-Msc-419762",4844
"polinices uberinus","polinices","benthic","fishbase",43,102,"W-Msc-419765",4855
"sigatica carolinensis","sigatica","benthic","fishbase",34,113,"W-Msc-419766",4867
"sigatica semisulcata","sigatica","benthic","fishbase",6,31,"W-Msc-419767",4868
"sinum maculatum","sinum","benthic","fishbase",7,35,"W-Msc-419768",4857
"stigmaulax cayennensis","stigmaulax","benthic","fishbase",8,40,"W-Msc-419771",148677
"stigmaulax sulcatus","stigmaulax","benthic","fishbase",4,23,"W-Msc-419772",4869
"bursa grayana","bursa","benthic","fishbase",9,46,"W-Msc-419774",4985
"bursa natalensis","bursa","benthic","fishbase",131,367,"W-Msc-419775",149574
"casmaria atlantica","casmaria","benthic","fishbase",9,19,"W-Msc-419776",149567
"cassis flammea","cassis","benthic","fishbase",2,7,"W-Msc-419777",4883
"cassis madagascariensis","cassis","benthic","fishbase",22,89,"W-Msc-419778",4882
"echinophoria coronadoi","echinophoria","benthic","fishbase",60,147,"W-Msc-419779",147597
"semicassis granulata","semicassis","benthic","fishbase",20,88,"W-Msc-419784",4885
"distorsio clathrata","distorsio","benthic","fishbase",34,140,"W-Msc-419785",4710
"distorsio constricta","distorsio","benthic","fishbase",34,140,"W-Msc-419786",4711
"cymatium raderi","cymatium","benthic","fishbase",4,24,"W-Msc-419788",141199
"atlanta helicinoidea","atlanta","pelagic","fishbase",10,50,"W-Msc-419791",1667
"amaea mitchelli","amaea","benthic","fishbase",5,28,"W-Msc-419794",3190
"cirsotrema dalli","cirsotrema","benthic","fishbase",25,107,"W-Msc-419795",3192
"cycloscala echinaticosta","cycloscala","benthic","fishbase",42,168,"W-Msc-419797",3243
"cylindriscala andrewsii","cylindriscala","benthic","fishbase",257,496,"W-Msc-419798",149112
"epitonium albidum","epitonium","benthic","fishbase",42,168,"W-Msc-419803",3880
"epitonium apiculatum","epitonium","benthic","fishbase",10,45,"W-Msc-419804",3230
"epitonium candeanum","epitonium","benthic","fishbase",100,354,"W-Msc-419806",3231
"epitonium denticulatum","epitonium","benthic","fishbase",193,624,"W-Msc-419807",3240
"epitonium foliaceicosta","epitonium","benthic","fishbase",24,104,"W-Msc-419808",3234
"epitonium frielei","epitonium","benthic","fishbase",491,1255,"W-Msc-419810",3246
"epitonium occidentale","epitonium","benthic","fishbase",30,126,"W-Msc-419813",3879
"epitonium unifasciatum","epitonium","benthic","fishbase",1,5,"W-Msc-419817",3878
"opalia burryi","opalia","benthic","fishbase",44,97,"W-Msc-419822",3172
"opalia eolis","opalia","benthic","fishbase",79,145,"W-Msc-419823",3178
"opalia hotessieriana","opalia","benthic","fishbase",17,80,"W-Msc-419824",3181
"opalia morchiana","opalia","benthic","fishbase",30,94,"W-Msc-419825",147678
"sthenorytis pernobilis","sthenorytis","benthic","fishbase",271,679,"W-Msc-419829",3198
"graphis underwoodae","graphis","benthic","fishbase",34,142,"W-Msc-419833",433
"eulima bifasciata","eulima","benthic","fishbase",8,42,"W-Msc-419836",4586
"melanella conoidea","melanella","benthic","fishbase",64,242,"W-Msc-419843",3922
"melanella eulimoides","melanella","benthic","fishbase",10,47,"W-Msc-419844",4473
"melanella hypsela","melanella","benthic","fishbase",75,245,"W-Msc-419846",141106
"niso aeglees","niso","benthic","fishbase",29,122,"W-Msc-419851",4659
"niso hendersoni","niso","benthic","fishbase",46,111,"W-Msc-419852",4660
"scalenostoma subulatum","scalenostoma","benthic","fishbase",9,45,"W-Msc-419857",147489
"vitreolina arcuata","vitreolina","benthic","fishbase",18,80,"W-Msc-419859",1485
"cerithiopsis albovittata","cerithiopsis","benthic","fishbase",20,56,"W-Msc-419865",1175
"cerithiopsis flava","cerithiopsis","benthic","fishbase",20,56,"W-Msc-419872",1176
"cerithiopsis fusiformis","cerithiopsis","benthic","fishbase",17,80,"W-Msc-419875",4377
"cerithiopsis gemmulosa","cerithiopsis","benthic","fishbase",9,45,"W-Msc-419876",4136
"cerithiopsis iota","cerithiopsis","benthic","fishbase",18,60,"W-Msc-419879",1177
"cerithiopsis lata","cerithiopsis","benthic","fishbase",4,23,"W-Msc-419880",1179
"retilaskeya bicolor","retilaskeya","reef","fishbase",6,33,"W-Msc-419889",2397
"eutriphora bermudensis","eutriphora","benthic","fishbase",9,31,"W-Msc-419896",147423
"iniforis turristhomae","iniforis","benthic","fishbase",10,50,"W-Msc-419902",1428
"latitriphora albida","latitriphora","benthic","fishbase",3,15,"W-Msc-419904",141116
"metaxia excelsa","metaxia","benthic","fishbase",16,53,"W-Msc-419909",141117
"metaxia rugulosa","metaxia","reef","fishbase",13,63,"W-Msc-419911",4207
"monophorus olivaceus","monophorus","benthic","fishbase",12,47,"W-Msc-419914",141115
"nototriphora decorata","nototriphora","benthic","fishbase",11,51,"W-Msc-419915",141123
"similiphora intermedia","similiphora","benthic","fishbase",10,51,"W-Msc-419916",1763
"triphora lilacina","triphora","benthic","fishbase",29,94,"W-Msc-419927",4437
"coralliophila aberrans","coralliophila","benthic","fishbase",62,237,"W-Msc-419932",5212
"coralliophila caribaea","coralliophila","reef","fishbase",12,57,"W-Msc-419933",5209
"coralliophila galea","coralliophila","benthic","fishbase",2,12,"W-Msc-419934",5219
"coralliophila scalariformis","coralliophila","benthic","fishbase",14,68,"W-Msc-419936",5210
"paziella pazi","paziella","benthic","fishbase",253,394,"W-Msc-419942",5198
"phyllonotus oculatus","phyllonotus","benthic","fishbase",2,6,"W-Msc-419943",148699
"antillophos candeanus","antillophos","benthic","fishbase",46,177,"W-Msc-419959",1643
"bailya intricata","bailya","benthic","fishbase",9,45,"W-Msc-419961",5394
"bailya parva","bailya","reef","fishbase",6,27,"W-Msc-419962",5392
"gemophos auritulus","gemophos","benthic","fishbase",3,15,"W-Msc-419968",141187
"gemophos tinctus","gemophos","benthic","fishbase",8,40,"W-Msc-419969",147576
"liomesus stimpsoni","liomesus","benthic","fishbase",173,283,"W-Msc-419973",1453
"monostiolum tessellatum","monostiolum","benthic","fishbase",8,20,"W-Msc-419976",148697
"pisania pusio","pisania","reef","fishbase",6,32,"W-Msc-419978",5400
"solenosteira cancellaria","solenosteira","benthic","fishbase",10,50,"W-Msc-419981",147577
"astyris raveneli","astyris","benthic","fishbase",33,112,"W-Msc-419986",1665
"astyris verrilli","astyris","benthic","fishbase",680,962,"W-Msc-419987",147626
"columbella rusticoides","columbella","benthic","fishbase",0,4,"W-Msc-419988",5323
"conella ovulata","conella","reef","fishbase",1,6,"W-Msc-419990",141169
"conella ovuloides","conella","benthic","fishbase",0,1,"W-Msc-419991",141170
"cosmioconcha nitens","cosmioconcha","benthic","fishbase",20,88,"W-Msc-419992",4613
"costoanachis floridana","costoanachis","benthic","fishbase",1,8,"W-Msc-419993",4611
"costoanachis semiplicata","costoanachis","benthic","fishbase",4,24,"W-Msc-419996",1575
"costoanachis sparsa","costoanachis","benthic","fishbase",8,40,"W-Msc-419998",1577
"mitrella dichroa","mitrella","benthic","fishbase",1,5,"W-Msc-420002",4718
"nassarina glypta","nassarina","benthic","fishbase",106,358,"W-Msc-420004",4614
"nassarina metabrunnea","nassarina","benthic","fishbase",142,314,"W-Msc-420005",4620
"nitidella nitida","nitidella","benthic","fishbase",0,1,"W-Msc-420006",4623
"rhombinella laevigata","rhombinella","benthic","fishbase",2,12,"W-Msc-420008",2400
"steironepion maculatum","steironepion","benthic","fishbase",2,11,"W-Msc-420009",141125
"steironepion minus","steironepion","benthic","fishbase",24,104,"W-Msc-420010",147357
"steironepion moniliferum","steironepion","benthic","fishbase",8,41,"W-Msc-420011",1789
"suturoglypta pretrii","suturoglypta","benthic","fishbase",17,25,"W-Msc-420014",1834
"zafrona idalina","zafrona","benthic","fishbase",5,23,"W-Msc-420016",1511
"zafrona pulchella","zafrona","benthic","fishbase",1,5,"W-Msc-420017",1512
"dolicholatirus pauli","dolicholatirus","benthic","fishbase",77,191,"W-Msc-420019",5270
"fasciolaria tulipa","fasciolaria","benthic","fishbase",7,37,"W-Msc-420024",4932
"hemipolygona mcgintyi","hemipolygona","benthic","fishbase",6,13,"W-Msc-420041",148638
"leucozonia leucozonalis","leucozonia","benthic","fishbase",0,1,"W-Msc-420043",139484
"leucozonia nassa","leucozonia","benthic","fishbase",7,35,"W-Msc-420044",5268
"leucozonia ocellata","leucozonia","benthic","fishbase",2,12,"W-Msc-420045",5269
"polygona angulata","polygona","benthic","fishbase",7,36,"W-Msc-420046",148767
"polygona infundibulum","polygona","benthic","fishbase",7,29,"W-Msc-420047",148075
"triplofusus giganteus","triplofusus","benthic","fishbase",22,95,"W-Msc-420051",148205
"melongena corona","melongena","benthic","fishbase",0,1,"W-Msc-420061",5518
"melongena melongena","melongena","benthic","fishbase",4,23,"W-Msc-420062",83556
"nassarius consensus","nassarius","benthic","fishbase",13,43,"W-Msc-420065",4900
"nassarius scissuratus","nassarius","benthic","fishbase",219,643,"W-Msc-420069",4923
"turbinella angulata","turbinella","reef","fishbase",8,41,"W-Msc-420076",83564
"vasum muricatum","vasum","reef","fishbase",2,11,"W-Msc-420079",5599
"vexillum epiphaneum","vexillum","benthic","fishbase",7,36,"W-Msc-420082",4256
"vexillum pulchellum","vexillum","benthic","fishbase",28,58,"W-Msc-420085",4261
"vexillum styria","vexillum","benthic","fishbase",113,299,"W-Msc-420086",5609
"vexillum sykesi","vexillum","benthic","fishbase",9,38,"W-Msc-420087",4262
"vexillum variatum","vexillum","benthic","fishbase",14,30,"W-Msc-420088",148702
"vexillum wandoense","vexillum","benthic","fishbase",109,360,"W-Msc-420090",5606
"dibaphimitra florida","dibaphimitra","benthic","fishbase",7,29,"W-Msc-420091",141180
"jaspidella blanesi","jaspidella","benthic","fishbase",13,30,"W-Msc-420101",5551
"jaspidella jaspidea","jaspidella","benthic","fishbase",2,8,"W-Msc-420102",5552
"olivella bullula","olivella","benthic","fishbase",90,259,"W-Msc-420105",5277
"olivella floralia","olivella","benthic","fishbase",7,35,"W-Msc-420107",5279
"olivella lactea","olivella","benthic","fishbase",4,21,"W-Msc-420110",391
"olivella minuta","olivella","benthic","fishbase",1,8,"W-Msc-420111",5276
"olivella nivea","olivella","benthic","fishbase",6,31,"W-Msc-420113",5295
"olivella perplexa","olivella","benthic","fishbase",6,30,"W-Msc-420114",5296
"olivella pusilla","olivella","benthic","fishbase",3,16,"W-Msc-420115",5299
"olivella rotunda","olivella","benthic","fishbase",203,631,"W-Msc-420117",5301
"olivella watermani","olivella","benthic","fishbase",81,249,"W-Msc-420120",5278
"oliva scripta","oliva","benthic","fishbase",14,38,"W-Msc-420127",5550
"gibberula catenata","gibberula","benthic","fishbase",18,81,"W-Msc-420128",4642
"gibberula fluctuata","gibberula","benthic","fishbase",5,27,"W-Msc-420129",4643
"gibberula lavalleeana","gibberula","benthic","fishbase",7,37,"W-Msc-420130",424
"granulina hadria","granulina","benthic","fishbase",1,9,"W-Msc-420132",4635
"dentimargo reductus","dentimargo","benthic","fishbase",6,26,"W-Msc-420138",1916
"eratoidea hematita","eratoidea","benthic","fishbase",19,81,"W-Msc-420140",405
"hyalina pallida","hyalina","benthic","fishbase",1,6,"W-Msc-420144",4647
"prunum amabile","prunum","benthic","fishbase",25,108,"W-Msc-420147",2356
"prunum apicinum","prunum","benthic","fishbase",2,13,"W-Msc-420149",4639
"prunum carneum","prunum","benthic","fishbase",4,21,"W-Msc-420152",1257
"prunum cassis","prunum","benthic","fishbase",84,128,"W-Msc-420153",2359
"prunum guttatum","prunum","benthic","fishbase",3,16,"W-Msc-420156",2361
"prunum hartleyanum","prunum","benthic","fishbase",33,64,"W-Msc-420157",148806
"prunum pruinosum","prunum","benthic","fishbase",5,28,"W-Msc-420163",141149
"volvarina albolineata","volvarina","benthic","fishbase",5,26,"W-Msc-420169",4651
"volvarina subtriplicata","volvarina","benthic","fishbase",30,102,"W-Msc-420186",5585
"agatrix agassizii","agatrix","benthic","fishbase",40,70,"W-Msc-420188",4630
"trigonostoma tenerum","trigonostoma","benthic","fishbase",11,52,"W-Msc-420196",4628
"tritonoharpa lanceolata","tritonoharpa","benthic","fishbase",19,85,"W-Msc-420198",2430
"conus amphiurgus","conus","benthic","fishbase",14,36,"W-Msc-420199",6318
"conus anabathrum","conus","benthic","fishbase",13,60,"W-Msc-420200",1557
"conus attenuatus","conus","benthic","fishbase",17,46,"W-Msc-420203",6368
"conus cancellatus","conus","benthic","fishbase",55,150,"W-Msc-420206",6369
"conus daucus","conus","benthic","fishbase",26,113,"W-Msc-420208",6173
"conus flavescens","conus","benthic","fishbase",13,60,"W-Msc-420210",6338
"conus granulatus","conus","benthic","fishbase",5,26,"W-Msc-420211",6341
"conus mus","conus","benthic","fishbase",2,10,"W-Msc-420216",6344
"conus patae","conus","benthic","fishbase",14,36,"W-Msc-420217",6345
"conus regius","conus","benthic","fishbase",10,47,"W-Msc-420220",6354
"conus sennottorum","conus","benthic","fishbase",34,66,"W-Msc-420222",6316
"conus spurius","conus","benthic","fishbase",6,33,"W-Msc-420223",6359
"conus stimpsoni","conus","benthic","fishbase",58,117,"W-Msc-420225",6319
"conus villepinii","conus","benthic","fishbase",78,230,"W-Msc-420226",6317
"hastula hastata","hastula","benthic","fishbase",7,38,"W-Msc-420227",6192
"terebra alba","terebra","benthic","fishbase",10,30,"W-Msc-420231",1851
"terebra arcas","terebra","benthic","fishbase",13,48,"W-Msc-420232",6382
"terebra glossema","terebra","benthic","fishbase",3,8,"W-Msc-420237",6377
"terebra limatula","terebra","benthic","fishbase",57,119,"W-Msc-420238",149669
"terebra nassula","terebra","benthic","fishbase",198,536,"W-Msc-420241",6378
"terebra protexta","terebra","benthic","fishbase",12,53,"W-Msc-420242",6374
"terebra taurina","terebra","benthic","fishbase",9,41,"W-Msc-420243",6379
"glyphostoma epicasta","glyphostoma","benthic","fishbase",210,379,"W-Msc-420250",97485
"glyphostoma gabbii","glyphostoma","benthic","fishbase",144,376,"W-Msc-420251",6276
"glyphostoma pilsbryi","glyphostoma","benthic","fishbase",100,137,"W-Msc-420255",6283
"nannodiella oxia","nannodiella","benthic","fishbase",9,46,"W-Msc-420258",5785
"nannodiella vespuciana","nannodiella","benthic","fishbase",10,51,"W-Msc-420259",5783
"cochlespira elegans","cochlespira","benthic","fishbase",240,658,"W-Msc-420260",5844
"cochlespira radiata","cochlespira","benthic","fishbase",171,517,"W-Msc-420261",5843
"leucosyrinx subgrundifera","leucosyrinx","benthic","fishbase",874,1172,"W-Msc-420263",97779
"pyrgospira ostrearum","pyrgospira","benthic","fishbase",17,80,"W-Msc-420265",6255
"crassispira cubana","crassispira","benthic","fishbase",10,46,"W-Msc-420267",5798
"crassispira fuscescens","crassispira","benthic","fishbase",10,45,"W-Msc-420269",1585
"hindsiclava alesidota","hindsiclava","benthic","fishbase",53,142,"W-Msc-420272",5846
"hindsiclava macilenta","hindsiclava","benthic","fishbase",79,132,"W-Msc-420273",2084
"inodrillia nucleata","inodrillia","benthic","fishbase",206,395,"W-Msc-420281",5875
"lioglyphostoma antillarum","lioglyphostoma","benthic","fishbase",57,87,"W-Msc-420285",98876
"lioglyphostoma hendersoni","lioglyphostoma","benthic","fishbase",116,236,"W-Msc-420286",97495
"bellaspira pentagonalis","bellaspira","benthic","fishbase",53,176,"W-Msc-420289",6284
"cerodrillia clappi","cerodrillia","benthic","fishbase",13,41,"W-Msc-420291",1183
"cerodrillia girardi","cerodrillia","benthic","fishbase",51,62,"W-Msc-420292",6244
"cerodrillia perryae","cerodrillia","benthic","fishbase",11,48,"W-Msc-420293",6242
"cerodrillia thea","cerodrillia","benthic","fishbase",22,97,"W-Msc-420296",6243
"fenimorea fucata","fenimorea","benthic","fishbase",10,26,"W-Msc-420305",6092
"fenimorea janetae","fenimorea","benthic","fishbase",13,63,"W-Msc-420307",6094
"fenimorea pagodula","fenimorea","benthic","fishbase",58,148,"W-Msc-420309",97825
"spirotropis lithocolleta","spirotropis","benthic","fishbase",297,770,"W-Msc-420315",99968
"bactrocythara asarca","bactrocythara","benthic","fishbase",51,74,"W-Msc-420323",6286
"benthomangelia bandella","benthomangelia","benthic","fishbase",709,1654,"W-Msc-420324",1674
"brachycythara barbarae","brachycythara","benthic","fishbase",10,51,"W-Msc-420325",6269
"brachycythara biconica","brachycythara","benthic","fishbase",9,45,"W-Msc-420326",5646
"cryoturris adamsii","cryoturris","benthic","fishbase",5,28,"W-Msc-420329",99368
"cryoturris cerinella","cryoturris","benthic","fishbase",7,37,"W-Msc-420330",6264
"cryoturris fargoi","cryoturris","benthic","fishbase",18,46,"W-Msc-420331",6263
"cryoturris quadrilineata","cryoturris","benthic","fishbase",15,18,"W-Msc-420332",6267
"glyphoturris quadrata","glyphoturris","benthic","fishbase",9,46,"W-Msc-420335",6096
"glyphoturris rugirima","glyphoturris","benthic","fishbase",44,170,"W-Msc-420336",6099
"ithycythara auberiana","ithycythara","benthic","fishbase",11,50,"W-Msc-420339",1431
"ithycythara cymella","ithycythara","benthic","fishbase",158,256,"W-Msc-420341",6273
"ithycythara lanceolata","ithycythara","benthic","fishbase",10,50,"W-Msc-420342",6274
"ithycythara parkeri","ithycythara","benthic","fishbase",3,14,"W-Msc-420343",6271
"ithycythara psila","ithycythara","benthic","fishbase",131,261,"W-Msc-420344",6275
"kurtziella atrostyla","kurtziella","benthic","fishbase",9,44,"W-Msc-420345",5768
"kurtziella limonitella","kurtziella","benthic","fishbase",9,45,"W-Msc-420348",5771
"kurtziella serga","kurtziella","benthic","fishbase",271,824,"W-Msc-420351",5777
"platycythara elata","platycythara","benthic","fishbase",19,52,"W-Msc-420354",1959
"pyrgocythara cinctella","pyrgocythara","benthic","fishbase",0,1,"W-Msc-420355",141160
"pyrgocythara filosa","pyrgocythara","benthic","fishbase",9,12,"W-Msc-420356",4936
"pyrgocythara hemphilli","pyrgocythara","benthic","fishbase",0,1,"W-Msc-420357",4937
"rubellatoma rubella","rubellatoma","benthic","fishbase",25,77,"W-Msc-420359",2410
"tenaturris inepta","tenaturris","benthic","fishbase",102,361,"W-Msc-420362",99349
"vitricythara metria","vitricythara","benthic","fishbase",5,28,"W-Msc-420366",1489
"daphnella corbicula","daphnella","benthic","fishbase",67,138,"W-Msc-420368",5859
"daphnella lymneiformis","daphnella","benthic","fishbase",4,24,"W-Msc-420373",5856
"daphnella margaretae","daphnella","benthic","fishbase",23,55,"W-Msc-420374",6185
"daphnella retifera","daphnella","benthic","fishbase",46,81,"W-Msc-420377",5860
"pleurotomella circumvoluta","pleurotomella","benthic","fishbase",174,374,"W-Msc-420386",99935
"pleurotomella ipara","pleurotomella","benthic","fishbase",285,752,"W-Msc-420389",97698
"rimosodaphnella morra","rimosodaphnella","benthic","fishbase",110,366,"W-Msc-420391",2401
"strictispira drangai","strictispira","benthic","fishbase",4,25,"W-Msc-420392",148808
"strictispira paxillus","strictispira","benthic","fishbase",2,12,"W-Msc-420393",99167
"gemmula periscelida","gemmula","benthic","fishbase",463,1094,"W-Msc-420395",5987
"polystira albida","polystira","benthic","fishbase",44,137,"W-Msc-420396",5781
"polystira florencae","polystira","benthic","fishbase",25,104,"W-Msc-420397",1974
"polystira tellea","polystira","benthic","fishbase",97,230,"W-Msc-420398",5780
"polystira vibex","polystira","benthic","fishbase",106,210,"W-Msc-420399",5782
"compsodrillia acestra","compsodrillia","benthic","fishbase",140,357,"W-Msc-420400",6289
"compsodrillia eucosmia","compsodrillia","benthic","fishbase",51,155,"W-Msc-420403",6288
"compsodrillia haliostrephis","compsodrillia","benthic","fishbase",59,100,"W-Msc-420404",6296
"pilsbryspira leucocyma","pilsbryspira","benthic","fishbase",2,11,"W-Msc-420409",6106
"pilsbryspira nodata","pilsbryspira","benthic","fishbase",4,22,"W-Msc-420411",141131
"rissoella caribaea","rissoella","benthic","fishbase",1,7,"W-Msc-420414",2749
"cyclostremella humilis","cyclostremella","benthic","fishbase",3,15,"W-Msc-420443",6928
"eulimastoma canaliculatum","eulimastoma","benthic","fishbase",13,63,"W-Msc-420444",147385
"eulimastoma didymum","eulimastoma","benthic","fishbase",10,50,"W-Msc-420445",2327
"eulimastoma weberi","eulimastoma","benthic","fishbase",4,22,"W-Msc-420448",867
"mumiola gradatula","mumiola","benthic","fishbase",26,112,"W-Msc-420455",148479
"odostomia laevigata","odostomia","benthic","fishbase",4,21,"W-Msc-420457",6412
"pseudoscilla babylonia","pseudoscilla","benthic","fishbase",73,271,"W-Msc-420459",2325
"longchaeus candidus","longchaeus","benthic","fishbase",40,161,"W-Msc-420462",148462
"longchaeus suturalis","longchaeus","benthic","fishbase",5,25,"W-Msc-420463",148266
"peristichia agria","peristichia","benthic","fishbase",12,57,"W-Msc-420464",6940
"triptychus niveus","triptychus","benthic","fishbase",4,24,"W-Msc-420469",6970
"turbonilla conradi","turbonilla","benthic","fishbase",0,3,"W-Msc-420480",6125
"turbonilla coomansi","turbonilla","benthic","fishbase",64,242,"W-Msc-420481",2451
"turbonilla hemphilli","turbonilla","benthic","fishbase",14,67,"W-Msc-420487",6127
"turbonilla portoricana","turbonilla","benthic","fishbase",22,68,"W-Msc-420494",6124
"turbonilla puncta","turbonilla","benthic","fishbase",5,27,"W-Msc-420495",6634
"turbonilla pupoides","turbonilla","benthic","fishbase",87,316,"W-Msc-420497",2456
"ringicula semistriata","ringicula","benthic","fishbase",91,235,"W-Msc-420508",7007
"acteon candens","acteon","benthic","fishbase",13,61,"W-Msc-420509",6975
"acteon delicatus","acteon","benthic","fishbase",185,332,"W-Msc-420511",6979
"japonactaeon punctostriatus","japonactaeon","benthic","fishbase",11,54,"W-Msc-420514",147354
"mysouffa cumingii","mysouffa","benthic","fishbase",42,168,"W-Msc-420516",7006
"bulla solida","bulla","benthic","fishbase",2,14,"W-Msc-420522",7164
"haminoea antillarum","haminoea","benthic","fishbase",0,2,"W-Msc-420524",7174
"haminoea succinea","haminoea","benthic","fishbase",5,28,"W-Msc-420526",7168
"chelidonura hirundinina","chelidonura","benthic","fishbase",2,7,"W-Msc-420528",7055
"acteocina atrata","acteocina","benthic","fishbase",0,1,"W-Msc-420530",7034
"acteocina bullata","acteocina","benthic","fishbase",20,55,"W-Msc-420531",7020
"acteocina candei","acteocina","benthic","fishbase",5,26,"W-Msc-420532",7017
"acteocina lepta","acteocina","benthic","fishbase",55,209,"W-Msc-420534",1616
"acteocina recta","acteocina","benthic","fishbase",15,64,"W-Msc-420536",7030
"scaphander watsoni","scaphander","benthic","fishbase",117,314,"W-Msc-420542",6052
"gastropteron chacmol","gastropteron","benthic","fishbase",3,6,"W-Msc-420543",378
"philine infundibulum","philine","benthic","fishbase",148,360,"W-Msc-420545",7038
"retusa sulcata","retusa","benthic","fishbase",23,86,"W-Msc-420549",7187
"volvulella paupercula","volvulella","benthic","fishbase",116,335,"W-Msc-420551",7253
"volvulella persimilis","volvulella","benthic","fishbase",100,354,"W-Msc-420552",7250
"volvulella texasiana","volvulella","benthic","fishbase",14,68,"W-Msc-420553",7249
"cylindrobulla beauii","cylindrobulla","benthic","fishbase",4,21,"W-Msc-420554",7261
"clio polita","clio","pelagic","fishbase",1026,1110,"W-Msc-420556",7287
"diacria danae","diacria","pelagic","fishbase",159,529,"W-Msc-420557",1926
"corolla ovata","corolla","pelagic","fishbase",22,95,"W-Msc-420559",6643
"phyllaplysia engeli","phyllaplysia","benthic","fishbase",0,3,"W-Msc-420563",8429
"lobiger souverbii","lobiger","benthic","fishbase",14,28,"W-Msc-420565",8423
"oxynoe antillarum","oxynoe","benthic","fishbase",1,6,"W-Msc-420566",8327
"elysia cornigera","elysia","benthic","fishbase",0,2,"W-Msc-420571",397
"elysia crispata","elysia","benthic","fishbase",1,8,"W-Msc-420572",398
"cyerce antillensis","cyerce","benthic","fishbase",1,3,"W-Msc-420577",8343
"costasiella nonatoi","costasiella","benthic","fishbase",2,3,"W-Msc-420580",8422
"costasiella ocellifera","costasiella","benthic","fishbase",3,7,"W-Msc-420581",8421
"tylodina americana","tylodina","benthic","fishbase",31,81,"W-Msc-420583",8488
"aphelodoris antillensis","aphelodoris","benthic","fishbase",2,7,"W-Msc-420595",7724
"jorunna spazzola","jorunna","benthic","fishbase",1,7,"W-Msc-420601",148332
"platydoris angustipes","platydoris","benthic","fishbase",7,37,"W-Msc-420602",6799
"dendrodoris krebsii","dendrodoris","benthic","fishbase",2,13,"W-Msc-420607",8527
"ceratophyllidia papilligera","ceratophyllidia","benthic","fishbase",22,90,"W-Msc-420610",1167
"polycera odhneri","polycera","benthic","fishbase",2,12,"W-Msc-420616",7132
"janolus comis","janolus","benthic","fishbase",2,13,"W-Msc-420620",1436
"marionia tedi","marionia","benthic","fishbase",92,194,"W-Msc-420625",2202
"flabellina engeli","flabellina","benthic","fishbase",1,2,"W-Msc-420630",894
"godiva rubrolineata","godiva","benthic","fishbase",2,12,"W-Msc-420631",8620
"learchis poica","learchis","benthic","fishbase",0,3,"W-Msc-420632",8610
"laemodonta cubensis","laemodonta","benthic","fishbase",0,1,"W-Msc-420637",89399
"pedipes mirabilis","pedipes","benthic","fishbase",0,1,"W-Msc-420644",89412
"williamia krebsii","williamia","benthic","fishbase",10,50,"W-Msc-420648",1503
"amphioctopus burryi","amphioctopus","benthic","fishbase",22,95,"W-Msc-420653",151685
"pteroctopus schmidti","pteroctopus","benthic","fishbase",326,634,"W-Msc-420654",57335
"nucula calcicola","nucula","benthic","fishbase",2,7,"W-Msc-420658",47240
"nucula crenulata","nucula","benthic","fishbase",213,580,"W-Msc-420660",47004
"ledella solidula","ledella","benthic","fishbase",331,828,"W-Msc-420662",148838
"nuculana concentrica","nuculana","benthic","fishbase",9,45,"W-Msc-420665",47149
"tindaria aeolata","tindaria","benthic","fishbase",2864,3017,"W-Msc-420679",147730
"tindaria amabilis","tindaria","benthic","fishbase",509,953,"W-Msc-420681",147715
"tindaria cytherea","tindaria","benthic","fishbase",634,883,"W-Msc-420682",147643
"amygdalum sagittatum","amygdalum","benthic","fishbase",52,197,"W-Msc-420690",47675
"bathymodiolus childressi","bathymodiolus","benthic","fishbase",870,1546,"W-Msc-420692",150171
"botula fusca","botula","benthic","fishbase",10,47,"W-Msc-420694",47693
