"species","total_hab_area"
"homalopoma albidum",2029000
"homalopoma cunninghami",268400
"homalopoma linnei",2408400
"homarus americanus",354500
"homarus gammarus",869800
"homola barbata",6176400
"homola minima",2626400
"homola orientalis",11897300
"homola vigil",1036500
"homolodromia paradoxa",1220000
"homologenus rostratus",1121100
"homolomannia sibogae",5594400
"homostolus acer",5540300
"hoplangia durotrix",930500
"hoplichthys acanthopleurus",1143300
"hoplichthys citrinus",5747800
"hoplichthys filamentosus",2467000
"hoplichthys gilberti",8984400
"hoplichthys haswelli",1204700
"hoplichthys langsdorfii",1235900
"hoplichthys ogilbyi",577700
"hoplichthys prosemion",1165700
"hoplichthys regani",19584700
"hoplobrotula armata",6091600
"hoplobrotula gnathopus",352600
"hoplodoris nodulosa",1467100
"hoplolatilus cuniculus",5432300
"hoplolatilus fronticinctus",4139200
"hoplolatilus marcosi",4869900
"hoplolatilus starcki",4375300
"hoplopagrus guentherii",264500
"hoplophrys oatesi",4739800
"hoplostethus atlanticus",6436100
"hoplostethus cadenati",9387800
"hoplostethus crassispinus",14687800
"hoplostethus gigas",838500
"hoplostethus japonicus",263700
"hoplostethus latus",4646100
"hoplostethus mediterraneus",13955000
"hoplostethus melanopterus",51879900
"hoplostethus melanopus",7634200
"hoplostethus mento",4435700
"hoplostethus occidentalis",3921700
"hoplostethus ravurictus",137100
"hoplunnis diomediana",1573000
"hoplunnis macrura",1734800
"hoplunnis pacifica",424800
"hoplunnis punctata",401700
"hoplunnis sicarius",518500
"hoplunnis similis",1510000
"hoplunnis tenuis",2311400
"horastrea indica",76600
"hormathia digitata",1717800
"hormathia lacunifera",1578100
"hormathia nodosa",3622100
"hormathia pectinata",1195400
"hormophysa cuneiformis",937800
"hormosira banksii",436500
"hormosoma scotti",2080500
"hornellia tequestae",693900
"hornera smitti",1157200
"hourstonius laguna",812900
"hourstonius tortugae",510300
"howella atlantica",44993800
"howella brodiei",172663800
"howella parini",64440100
"howella sherborni",9030100
"howella zina",106653800
"huenia brevifrons",2850000
"huenia heraldica",2046600
"huenia pacifica",4304200
"humilaria kennerleyi",305700
"hyalina pallida",982300
"hyalocylis striata",11490400
"hyalopecten frigidus",1124400
"hyaloteuthis pelagica",21240600
"hyas araneus",1392600
"hyastenus borradailei",1477800
"hyastenus diacanthus",4255300
"hyastenus hilgendorfi",5715400
"hyastenus uncifer",567900
"hyattella cavernosa",1246700
"hyattella intestinalis",5952700
"hybocodon prolifer",6807700
"hydatina amplustre",3628100
"hydatina physis",5215600
"hydatina vesicaria",1159200
"hydatina zonata",3506600
"hydnophora exesa",4333000
"hydnophora microconos",4294700
"hydnophora pilosa",2304800
"hydnophora rigida",2869500
"hydractinia echinata",3723000
"hydractinia minima",3266000
"hydrallmania falcata",7322100
"hydrobia ulvae",952900
"hydroclathrus clathratus",9053700
"hydrodamalis gigas",48500
"hydrodendron arboreum",1394300
"hydrolagus affinis",2285900
"hydrolagus africanus",441400
"hydrolagus bemisi",1063700
"hydrolagus colliei",546600
"hydrolagus homonycteris",1456500
"hydrolagus lemures",1328500
"hydrolagus marmoratus",2483500
"hydrolagus melanophasma",1669400
"hydrolagus mirabilis",4493700
"hydrolagus mitsukurii",494100
"hydrolagus novaezealandiae",573500
"hydrolagus ogilbyi",730500
"hydrolagus pallidus",1735100
"hydrolagus trolli",2227400
"hydrolithon boergesenii",718000
"hydrolithon farinosum",4577400
"hydrolithon onkodes",2087500
"hydrolithon reinboldii",761200
"hydrophis caerulescens",7759500
"hydrophis coggeri",5353600
"hydrophis cyanocinctus",8905000
"hydrophis czeblukovi",1362400
"hydrophis elegans",4490400
"hydrophis lapemoides",7951000
"hydrophis macdowelli",4278000
"hydrophis ornatus",9104000
"hydrophis spiralis",8939400
"hydropuntia crassissima",924000
"hydropuntia edulis",5595700
"hydrurga leptonyx",14852500
"hygophum atratum",37330200
"hygophum benoiti",19639300
"hygophum bruuni",10677000
"hygophum hanseni",26958700
"hygophum hygomii",119476900
"hygophum macrochir",50545800
"hygophum proximum",139979000
"hygophum reinhardtii",231028600
"hygophum taaningi",60820000
"hygrosoma hoplacantha",3534600
"hymenaster pellucidus",4049700
"hymenaster quadrispinosus",3194000
"hymeniacidon caerulea",966500
"hymeniacidon heliophila",2535800
"hymenocephalus aeger",2061800
"hymenocephalus aterrimus",10125700
"hymenocephalus billsam",4558500
"hymenocephalus italicus",4898100
"hymenocephalus lethonemus",3373000
"hymenocephalus longibarbis",4845000
"hymenocephalus longiceps",6453700
"hymenocephalus longipes",2475000
"hymenocephalus megalops",1267400
"hymenocephalus nascens",4627000
"hymenocephalus striatissimus",4665600
"hymenocephalus torvus",4167200
"hymenocera picta",4226200
"hymenodora frontalis",5395800
"hymenodora glacialis",54444600
"hymenodora gracilis",25061400
"hymenogadus gracilis",45647700
"hymenopenaeus aphoticus",8313700
"hymenopenaeus chacei",3569800
"hymenopenaeus debilis",6600600
"hymenopenaeus doris",9774500
"hymenopenaeus equalis",10956200
"hymenopenaeus halli",9734600
"hymenopenaeus laevis",61869100
"hymenopenaeus neptunus",23287500
"hymenopenaeus obliquirostris",3163300
"hymenopenaeus propinquus",9040100
"hyotissa hyotis",6995200
"hyotissa mcgintyi",1250500
"hypalocrinus naresianus",5028700
"hypalometra defecta",2305800
"hypanus dipterurus",526200
"hypanus guttatus",914900
"hypanus longus",233500
"hypanus sabinus",486700
"hypanus say",1228800
"hyperietta stephenseni",5337400
"hyperietta vosseleri",2771100
"hyperioides longipes",4770400
"hyperlophus vittatus",389100
"hyperoglyphe antarctica",1844900
"hyperoglyphe japonica",2745600
"hyperoglyphe perciformis",5733800
"hyperoodon ampullatus",10203700
"hyperoodon planifrons",101913100
"hyperoplus immaculatus",385300
"hyperoplus lanceolatus",576500
"hyperprosopon anale",47500
"hyperprosopon argenteum",80200
"hyperprosopon ellipticum",166900
"hypleurochilus aequipinnis",1207100
"hypleurochilus bananensis",624100
"hypleurochilus bermudensis",1136800
"hypleurochilus caudovittatus",1017800
"hypleurochilus fissicornis",240100
"hypleurochilus geminatus",252600
"hypleurochilus langi",202500
"hypleurochilus multifilis",163200
"hypleurochilus pseudoaequipinnis",1201300
"hypleurochilus springeri",754300
"hypnea boergesenii",5255300
"hypnea musciformis",9850600
"hypnea pannosa",6499700
"hypnea valentiae",8780800
"hypnogorgia pendula",1703200
"hypnos monopterygius",741300
"hypoatherina barnesi",2612800
"hypoatherina harringtonensis",1012100
"hypoatherina ovalaua",1955700
"hypoatherina temminckii",4933700
"hypoatherina tropicalis",4098500
"hypoatherina valenciennei",6480400
"hypoconcha arcuata",1455500
"hypoconcha parasitica",1400700
"hypoconcha spinosissima",1099100
"hypodistoma deerratum",2969500
"hypodistoma mirabile",333000
"hypogaleus hyugaensis",5341700
"hypomesus japonicus",551100
"hypomesus pretiosus",668300
"hypoplectrodes cardinalis",234100
"hypoplectrodes huntii",111700
"hypoplectrodes jamesoni",97800
"hypoplectrodes maccullochi",111500
"hypoplectrodes nigroruber",423600
"hypoplectrodes wilsoni",89700
"hypoplectrus aberrans",837300
"hypoplectrus chlorurus",1085600
"hypoplectrus gummigutta",927800
"hypoplectrus guttavarius",926100
"hypoplectrus indigo",754700
"hypoplectrus nigricans",620100
"hypoplectrus puella",1069800
"hypoplectrus unicolor",873500
"hypopleuron caninum",3977600
"hypoptychus dybowskii",762600
"hyporhamphus acutus",796300
"hyporhamphus affinis",4748900
"hyporhamphus australis",56700
"hyporhamphus balinensis",3866000
"hyporhamphus capensis",156000
"hyporhamphus dussumieri",4321000
"hyporhamphus gilli",836400
"hyporhamphus ihi",263900
"hyporhamphus intermedius",609400
"hyporhamphus limbatus",8042300
"hyporhamphus meeki",1116400
"hyporhamphus melanochir",597600
"hyporhamphus naos",788800
"hyporhamphus neglectissimus",3732600
"hyporhamphus neglectus",5035500
"hyporhamphus picarti",605100
"hyporhamphus quoyi",7336400
"hyporhamphus roberti roberti",1114800
"hyporhamphus rosae",908700
"hyporhamphus sajori",631700
"hyporhamphus sindensis",1553500
"hyporhamphus snyderi",289800
"hyporhamphus unicuspis",2786300
"hyporhamphus unifasciatus",1261300
"hyporthodus acanthistius",390200
"hyporthodus ergastularius",140000
"hyporthodus flavolimbatus",2407800
"hyporthodus haifensis",818900
"hyporthodus mystacinus",1204800
"hyporthodus nigritus",2954200
"hyporthodus niphobles",446800
"hyporthodus niveatus",1706900
"hyporthodus octofasciatus",8856600
"hyporthodus quernus",207100
"hyporthodus septemfasciatus",155800
"hypothalassia armata",7113100
"hypsagonus quadricornis",574900
"hypseleotris cyprinoides",3607000
"hypseleotris guentheri",1051300
"hypselodoris bennetti",155100
"hypselodoris infucata",4458500
"hypselodoris nigrostriata",7712400
"hypselodoris ruthae",495700
"hypsistozoa distomoides",331100
"hypsoblennius brevipinnis",314700
"hypsoblennius gentilis",311700
"hypsoblennius gilberti",64900
"hypsoblennius hentz",454000
"hypsoblennius invemar",779200
"hypsoblennius jenkinsi",334900
"hypsopsetta guttulata",86200
"hypsurus caryi",36300
"hypsypops rubicundus",36700
"hyrtios erectus",5310600
"hyrtios proteus",846400
"hyrtios reticulatus",2621800
"hyrtios violaceus",1001100
"hyssura bacescui",982300
"iago garricki",1568600
"iago omanensis",1006000
"ianiropsis breviremis",662000
"ianiropsis kincaidi",185500
"ianthella basta",3358600
"ianthopsis bovallii",2207500
"ianthopsis nasicornis",509700
"iasis cylindrica",21995200
"iathrippa longicauda",973700
"iathrippa sarsi",2220800
"ibacus alticrenatus",729600
"ibacus brevipes",3757600
"ibacus brucei",207700
"ibacus ciliatus",2470000
"ibacus novemdentatus",7702800
"ibacus peronii",530700
"ibacus pubescens",4945900
"ibla cumingi",4966500
"icasterias panopla",4082900
"icelinus borealis",768500
"icelinus burchami",560700
"icelinus cavifrons",27900
"icelinus filamentosus",876000
"icelinus fimbriatus",286500
"icelinus quadriseriatus",144500
"icelinus tenuis",662600
"icelopagurus crosnieri",5459800
"icelopagurus undulatus",241500
"icelus bicornis",4959900
"icelus canaliculatus",1330200
"icelus cataphractus",1024500
"icelus euryops",799500
"icelus spatula",3122100
"icelus spiniger",1873600
"icelus uncinalis",648100
"ichthyapus ophioneus",1172800
"ichthyapus selachops",254900
"ichthyapus vulturis",4089200
"ichthyocampus carce",2946000
"ichthyococcus australis",36295300
"ichthyococcus elongatus",38807500
"ichthyococcus intermedius",32231000
"ichthyococcus irregularis",2112500
"ichthyococcus ovatus",135654700
"ichthyococcus parini",21184400
"ichthyscopus barbatus",353900
"ichthyscopus sannio",326400
"icichthys australis",44551400
"icichthys lockingtoni",11815700
"iciligorgia schrammi",1695200
"iconaster longimanus",3713500
"icosteus aenigmaticus",9544000
"idiacanthus antrostomus",48861900
"idiacanthus atlanticus",60829600
"idiacanthus fasciola",174087600
"idiellana pristis",10100100
"idiolophorhynchus andriashevi",1725700
"idiolychnus urolampus",4131800
"idiosepius notoides",349000
"idiosepius paradoxus",817900
"idiosepius pygmaeus",2649500
"idioteuthis hjorti",87688000
"idmidronea atlantica",3677900
"idotea chelipes",424200
"idotea emarginata",443300
"idotea granulosa",502700
"idotea linearis",299100
"idotea metallica",4533700
"idotea neglecta",441400
"idotea rufescens",193500
"idotea urotoma",198900
"ifremeria nautilei",7839700
"igernella notabilis",952000
"ijimaia loppei",509300
"ilbia ilbi",295000
"iliacantha liodactylus",1591400
"iliacantha sparsa",1337600
"iliacantha subglobosa",2636300
"ilisha africana",320700
"ilisha elongata",1807400
"ilisha filigera",8173500
"ilisha fuerthii",207300
"ilisha kampeni",1200000
"ilisha lunula",3337900
"ilisha megaloptera",2511500
"ilisha melastoma",4126300
"ilisha sirishai",1310700
"illex argentinus",580300
"illex coindetii",6805900
"illex illecebrosus",2554300
"illex oxygonius",2445500
"iluocoetes fimbriatus",1144600
"ilyanassa obsoleta",353500
"ilyarachna antarctica",30392300
"ilyarachna hirticeps",998800
"ilyarachna nordenstami",296600
"ilyograpsus paludicola",4373800
"ilyograpsus rhizophorae",770200
"ilyophis blachei",787500
"ilyophis brunneus",61949300
"ilyophis nigeli",48900
"ilyoplax frater",560300
"ilyoplax stevensi",748700
"ilypnus gilberti",463800
"imbricaria conularis",3311500
"imbricaria olivaeformis",2604400
"imbricaria punctata",2407500
"inachus parvirostris",597300
"incrustatus comauensis",145300
"indomitrella conspersa",1536400
"indopacetus pacificus",90332800
"indophyllia macassarensis",1306700
"indothais lacera",4305400
"inegocia harrisii",2447600
"inegocia japonica",5668900
"inegocia ochiaii",301600
"inferiolabiata lowei",1621900
"ingolfiella fuscina",926500
"iniforis turristhomae",1204900
"iniistius aneitensis",3449100
"iniistius baldwini",7726100
"iniistius bimaculatus",2790600
"iniistius celebicus",897200
"iniistius dea",4017800
"iniistius melanopus",4998300
"iniistius pavo",6503900
"iniistius pentadactylus",5342800
"iniistius twistii",2643500
"inimicus caledonicus",2053300
"inimicus cuvieri",3999900
"inimicus didactylus",4790000
"inimicus filamentosus",931000
"inimicus japonicus",1507300
"inimicus sinensis",5020400
"inioteuthis maculosa",6331300
"inodrillia nucleata",1908800
"iophon proximum",293000
"iothia coppingeri",1556200
"iotrochota baculifera",5046300
"iotrochota birotulata",4410900
"iotrochota purpurea",3770200
"iotyrris cingulifera",2038300
"iphiculus spongiosus",6724200
"iphigenia brasiliana",1271200
"iphimediella cyclogena",907100
"iphimediella margueretei",1461100
"iphimediella serrata",841600
"iphinoe maeotica",120300
"iphinoe trispinosa",347100
"ipnops agassizii",18247900
"ipnops murrayi",5244400
"iracundus signifer",4788900
"iravadia quadrasi",3668100
"ircinia campana",1159400
"ircinia felix",1329700
"ircinia irregularis",1924600
"ircinia ramosa",3528600
"ircinia strobilina",1148800
"ircinia variabilis",1199600
"iredalea macleayi",1295700
"iridaea cordata",2140100
"iridopagurus caribbensis",1204000
"iridopagurus violaceus",1075400
"irolita waitii",273800
"irus macrophyllus",4621800
"isacia conceptionis",171800
"isaurus tuberculatus",2096900
"ischadium recurvum",894500
"ischnochiton erythronotus",943800
"ischnochiton hakodadensis",198200
"ischnochiton hartmeyeri",829500
"ischnochiton papillosus",976500
"ischnochiton rissoi",867500
"ischnochiton striolatus",1311600
"ischnochiton yerburyi",833100
"ischnopontonia lophos",925300
"ischyrocerus brusilovi",1705300
"ischyrocerus longimanus",219600
"ischyromene australis",70600
"ischyromene eatoni",178000
"ischyromene huttoni",111100
"iselica globosa",1094200
"isidella elongata",1536100
"isistius brasiliensis",187581900
"isistius plutodus",4605200
"iso natalensis",493300
"iso rhothophilus",2267200
"isocheles wurdemanni",865600
"isocladus armatus",151600
"isodictya kerguelenensis",678900
"isognomon bicolor",1291600
"isognomon ephippium",6151000
"isognomon isognomum",5179600
"isognomon janus",673200
"isognomon legumen",5721400
"isognomon perna",4986000
"isognomon radiatus",1498300
"isognomon recognitus",1084400
"isogomphodon oxyrhynchus",219300
"isometra vivipara",1824500
"isophyllia rigida",540500
"isophyllia sinuosa",576100
"isopisthus parvipinnis",407400
"isopisthus remifer",437700
"isopora brueggemanni",4017000
"isopora crateriformis",4159700
"isopora cuneata",4140400
"isopora palifera",4340400
"isopsetta isolepis",1459800
"isorropodon perplexum",25986300
"isosecuriflustra angusta",1254100
"isosecuriflustra tenuis",1106900
"isosicyonis alba",1205600
"isostichopus badionotus",1422200
"isostichopus fuscus",1122000
"isostichopus macroparentheses",732800
"isotealia antarctica",2604600
"issena pacifica",11077100
"istiblennius bellus",3231300
"istiblennius dussumieri",4319100
"istiblennius edentulus",4160800
"istiblennius lineatus",4117600
"istiblennius meleagris",1609100
"istiblennius pox",919800
"istigobius campbelli",1215700
"istigobius decoratus",5068500
"istigobius diadema",5158800
"istigobius hoshinonis",262100
"istigobius nigroocellatus",3107300
"istigobius ornatus",4527500
"istigobius rigilius",1731000
"istigobius spence",3600100
"istiompax indica",180190300
"istiophorus albicans",46666000
"istiophorus platypterus",183087200
"isurus oxyrinchus",233274100
"isurus paucus",215702300
"ithycythara auberiana",1416500
"ithycythara cymella",1915200
"ithycythara lanceolata",1464000
"ithycythara parkeri",810600
"ithycythara psila",2437400
"ividia havanensis",2692600
"izanami inermis",153500
"jacksonaster depressum",4309700
"jacquinotia edwardsi",132100
"jaera albifrons",823800
"jaera ischiosetosa",421600
"jaera praehirsuta",335300
"jaffaia jaffaensis",230100
"jania adhaerens",2481100
"jania capillacea",3762300
"janicella spinicauda",164341000
"janira alta",607000
"janira maculosa",3111400
"janolus comis",1461300
"janolus hyalinus",606400
"janthina globosa",1955600
"janthina janthina",5312800
"japetella diaphana",57890800
"japonactaeon punctostriatus",1272500
"japonoconger caribbeus",493600
"japonolaeops dentatus",3165500
"jaspidella blanesi",967900
"jaspidella jaspidea",1103000
"jaspis stellifera",3482800
"jassa alonsoae",1141400
"jassa marmorata",2081600
"jasus edwardsii",653200
"jasus lalandii",184400
"javania cailleti",10509800
"javania fusca",4204200
"javania lamprotichum",5725100
"jaydia argyrogaster",2362000
"jaydia carinatus",5056800
"jaydia catalai",197100
"jaydia ellioti",7988700
"jaydia hungi",834300
"jaydia lineata",5895700
"jaydia melanopus",3700800
"jaydia novaeguineae",4056700
"jaydia poeciloptera",6233200
"jaydia queketti",1620200
"jaydia smithi",6295300
"jaydia striata",2679000
"jaydia striatodes",3532200
"jaydia truncata",4635300
"jellyella tuberculata",3611700
"jenkinsia lamprotaenia",887500
"jenkinsia majua",702400
"jenkinsia stolifera",607700
"jocaste japonica",4656400
"jocaste lucina",6114900
"joeropsis antarctica",229400
"joeropsis bicarinata",920900
"joeropsis coralicola",780300
"joeropsis dubia",326800
"joeropsis intermedius",847400
"joeropsis rathbunae",1164500
"johnius amblycephalus",4456800
"johnius australis",3634800
"johnius belangerii",4824500
"johnius borneensis",8843800
"johnius carouna",6350600
"johnius carutta",1908500
"johnius coitor",4996400
"johnius distinctus",293900
"johnius dorsalis",560600
"johnius dussumieri",4286700
"johnius grypotus",1088900
"johnius laevis",3968900
"johnius macropterus",2578000
"johnius macrorhynus",6775400
"johnius novaeguineae",1646600
"johnius plagiostoma",5361900
"johnius trachycephalus",3514100
"johnius weberi",6101500
"johnrandallia nigrirostris",277900
"johnsonina eriomma",1600700
"jordania zonope",180100
"jorunna funebris",4705200
"jorunna hartleyi",253100
"jorunna pantherina",1115300
"jorunna spazzola",872900
"joturus pichardi",1224000
"jouannetia cumingi",2343400
"jouannetia globulosa",1467700
"jouannetia quillingi",466100
"joubiniteuthis portieri",41414900
"juliacorbula aequivalvis",1406900
"junceella juncea",8391500
"justitia longimana",956900
"justitia mauritiana",2475100
"juxtamusium coudeini",3382700
"juxtamusium maldivense",3739000
"kadosactis rosea",694200
"kajikia albida",59174600
"kajikia audax",187716800
"kali indica",116002800
"kali kerberti",180572100
"kali macrodon",102315900
"kali macrura",152528900
"kaloplocamus ramosus",2307100
"kamoharaia megastoma",15394100
"kanekonia queenslandica",633600
"kaperangus microlepis",5821000
"kappaphycus alvarezii",4698600
"karalepis stewarti",100900
"karalla daura",4706300
"karalla dussumieri",5206400
"karsten totoyensis",1684800
"katelysia japonica",4211800
"katelysia marmorata",3579000
"katharina tunicata",507200
"kathetostoma albigutta",710900
"kathetostoma averruncus",552800
"kathetostoma binigrasella",348900
"kathetostoma canaster",1232400
"kathetostoma cubana",1893000
"kathetostoma giganteum",679300
"kathetostoma laeve",406800
"kathetostoma nigrofasciatum",265300
"katsuwonus pelamis",249469900
"kaupichthys atronasus",1673800
"kaupichthys brachychirus",2845700
"kaupichthys diodontus",3183900
"kaupichthys hyoproroides",3127600
"kaupichthys nuchalis",1037000
"kaupus costatus",313400
"kelletia kelletii",41600
"kellia porculus",363700
"kellia suborbicularis",2234100
"kelloggella cardinalis",1267400
"kempella mikado",8984100
"kentrocapros aculeatus",2401400
"kentrocapros flavofasciatus",2707100
"kentrocapros rosapinto",662800
"kentrodoris rubescens",4721000
"keratoisis flexibilis",1718000
"kerguelenella lateralis",134200
"kestratherina brevirostris",271900
"kestratherina esox",174600
"kirchenpaueria halecioides",973700
"kirkpatrickia variolosa",1891300
"knipowitschia caucasica",166600
"kogia breviceps",94434200
"kogia sima",83452600
"kolga hyalina",1638600
"konosirus punctatus",733900
"kophobelemnon stelliferum",3162000
"koumansetta hectori",4572200
"koumansetta rainfordi",3223900
"kraemeria samoensis",920800
"kraussia rugulosa",2535900
"krefftichthys anderssoni",46815200
"krohnitta pacifica",12477000
"krohnitta subtilis",11421200
"kryptophanaron alfredi",683900
"kuhlia caudavittata",206600
"kuhlia mugil",4840300
"kuhlia petiti",170600
"kuhlia rupestris",4533700
"kuhlia sandvicensis",1618600
"kuhlia xenura",70400
"kuiterichthys furcipilis",229100
"kukenthalia borealis",4565600
"kumba japonica",8616600
"kumococius rodericensis",5635600
"kupellonura formosa",1178000
"kuronezumia bubonis",3871500
"kuronezumia leonis",487700
"kuroshiovolva shingoi",5475100
"kurtziella atrostyla",1272500
"kurtziella cerina",1693800
"kurtziella dorvilliae",145300
"kurtziella limonitella",1320100
"kurtziella serga",3360600
"kyphosus analogus",142500
"kyphosus azureus",225300
"kyphosus bigibbus",4563400
"kyphosus cinerascens",4928400
"kyphosus elegans",82100
"kyphosus incisor",1586800
"kyphosus ocyurus",56530800
"kyphosus pacificus",1233000
"kyphosus sectatrix",1877100
"kyphosus sydneyanus",413900
"kyphosus vaigiensis",5635700
"labichthys carinatus",71924900
"labidiaster annulatus",193700
"labidiaster radiosus",1724500
"labidocera acuta",12131100
"labidocera acutifrons",8661800
"labidocera aestiva",2027100
"labidocera detruncata",1549200
"labidocera kroyeri",2025200
"labidocera minuta",1778200
"labidocera mirabilis",1550000
"labidocera nerii",2109800
"labidocera pavo",9103700
"labidocera scotti",2273300
"labidocera wollastoni",824900
"labidodemas semperianum",3159600
"labidoplax digitata",702300
"labioporella granulosa",1534400
"labracinus cyclophthalmus",3515300
"labracinus lineatus",218400
"labrichthys unilineatus",4291900
"labrisomus cricota",573900
"labrisomus multiporosus",371800
"labrisomus nuchipinnis",1543800
"labrisomus philippii",73700
"labrisomus xanti",215100
"labroides bicolor",4580800
"labroides dimidiatus",5760500
"labroides pectoralis",2133800
"labroides phthirophagus",34600
"labroides rubrolabiatus",97700
"labropsis alleni",2440200
"labropsis australis",725600
"labropsis manabei",3600800
"labropsis micronesica",228500
"labropsis xanthonota",2505800
"labrus bergylta",614800
"labrus merula",440200
"labrus mixtus",1780100
"labrus viridis",407300
"labyrinthocyathus langae",1347800
"lacerna problematica",498000
"lachneratus phasmaticus",1881500
"lachnolaimus maximus",1117500
"lachnopodus subacutus",3344200
"laciolina laevigata",831600
"laciolina magna",486500
"lactarius lactarius",9591000
"lactophrys bicaudalis",1194600
"lactophrys trigonus",1539200
"lactophrys triqueter",1478900
"lactoria cornuta",6479100
"lactoria diaphana",5283300
"lactoria fornasini",5156100
"lacuna crassior",447800
"lacuna pallidula",289000
"lacuna vincta",3410600
"laemodonta cubensis",778500
"laemonema barbatulum",2440900
"laemonema goodebeanorum",2537800
"laemonema gracillipes",300300
"laemonema laureysi",261500
"laemonema longipes",910700
"laemonema melanurum",6968200
"laemonema nana",304800
"laemonema rhodochir",3764200
"laemonema robustum",10615600
"laemonema verecundum",1710500
"laeops clarus",882100
"laeops guentheri",7627800
"laeops kitaharae",5545900
"laeops nigromaculatus",1289100
"laeops parviceps",3809700
"laeops pectoralis",655500
"laevicardium attenuatum",4225200
"laevicardium biradiatum",4314700
"laevicardium crassum",1796000
"laevicardium laevigatum",1840000
"laevicardium lobulatum",3100900
"laevicardium mortoni",1270100
"laevicardium multipunctatum",4659700
"laevicardium oblongum",747600
"laevicardium pictum",1396800
"laevicardium serratum",837400
"laevicardium sybariticum",1586200
"laevichlamys aliae",3096100
"laevichlamys andamanica",21542600
"laevichlamys cuneata",2810700
"laevichlamys deliciosa",2967300
"laevichlamys lemniscata",3765300
"laevichlamys limatula",11379000
"laevichlamys mollita",2622300
"laevichlamys multisquamata",1150400
"laevichlamys squamosa",5493000
"laevichlamys wilhelminae",2537300
"laevidentalium coruscum",8647600
"laevidentalium eburneum",6537400
"laevidentalium erectum",4763100
"laevidentalium houbricki",1587300
"laevidentalium jaffaensis",326600
"laevidentalium largicrescens",2854700
"laevidentalium leptosceles",40566500
"laevidentalium lubricatum",3793700
"laevidentalium martyi",1677900
"laevilitorina caliginosa",153200
"laevipilina hyalina",1397800
"lafoea coalescens",3019700
"lafoea dumosa",17861000
"lafoeina longitheca",2654400
"lafoeina maxima",6987500
"laganum decagonale",4557100
"laganum fudsiyama",4035800
"laganum laganum",2302000
"lagenicella marginata",1252000
"lagenodelphis hosei",145264200
"lagenorhynchus acutus",8432500
"lagenorhynchus albirostris",6114500
"lagenorhynchus australis",967300
"lagenorhynchus cruciger",40594500
"lagenorhynchus obliquidens",3278300
"lagenorhynchus obscurus",16249100
"lagocephalus gloveri",3528800
"lagocephalus guentheri",9192800
"lagocephalus inermis",8980100
"lagocephalus laevigatus",3246300
"lagocephalus lagocephalus",24566300
"lagocephalus lunaris",8535500
"lagocephalus sceleratus",6551000
"lagocephalus spadiceus",8417500
"lagocephalus wheeleri",1131800
"lagodon rhomboides",542600
"lahaina ovata",3886000
"laiphognathus multimaculatus",4056200
"laleonectes nipponensis",5745300
"laleonectes vocans",2511700
"lambis crocata",5314700
"lambis lambis",4665100
"lambis millepeda",2597500
"lambis scorpius",3542300
"lambis truncata",4349300
"lamellaria perspicua",1506800
"lamellitrochus carinatus",1271800
"lamellitrochus inceratus",1787300
"lamellitrochus lamellosus",1048500
"lamellodysidea herbacea",5281800
"lamellolucina dentifera",405300
"lamiopsis temminckii",367600
"lamna ditropis",4849300
"lamna nasus",94547900
"lamnostoma orientalis",4803800
"lamoha murotoensis",4915200
"lampadena anomala",35493200
"lampadena atlantica",14197300
"lampadena chavesi",134338300
"lampadena dea",13767400
"lampadena luminosa",186529700
"lampadena notialis",33162300
"lampadena pontifex",16625000
"lampadena speculigera",76816500
"lampadena urophaos",138012300
"lampadena yaquinae",13454700
"lampadioteuthis megaleia",61435700
"lampanyctodes hectoris",10736000
"lampanyctus acanthurus",81203000
"lampanyctus alatus",145605000
"lampanyctus australis",27148800
"lampanyctus crocodilus",21256000
"lampanyctus festivus",108333100
"lampanyctus hubbsi",27995600
"lampanyctus intricarius",77657900
"lampanyctus iselinoides",2923300
"lampanyctus jordani",73099100
"lampanyctus lepidolychnus",43413900
"lampanyctus macropterus",11100900
"lampanyctus nobilis",141073800
"lampanyctus omostigma",42701000
"lampanyctus parvicauda",26509700
"lampanyctus photonotus",105324900
"lampanyctus pusillus",98566400
"lampanyctus steinbecki",128672900
"lampanyctus turneri",105029900
"lampanyctus vadulus",9239400
"lampetra ayresii",218300
"lampetra fluviatilis",731300
"lampichthys procerus",36700600
"lampris guttatus",265369000
"lampris immaculatus",38687400
"lamprogrammus brunswigi",16901000
"lamprogrammus exutus",366400
"lamprogrammus niger",97708400
"lamprogrammus shcherbachevi",2272200
"lamprometra palmata",5361400
"landsburgia quercifolia",157700
"lanocira rapax",869200
"laodicea brevigona",2081400
"laodicea undulata",8108900
"laomedea calceolifera",1172800
"laomedea flexuosa",1853400
"laomedia astacina",943700
"laomenes amboinensis",5041500
"laona finmarchica",5197000
"laona quadrata",2659600
"laophonte cornuta",850200
"lapemis curtus",7068600
"lappanella fasciata",631100
"larabicus quadrilineatus",464200
"larimichthys crocea",1333500
"larimichthys pamoides",2760900
"larimichthys polyactis",1139800
"larimus acclivis",396300
"larimus argenteus",390300
"larimus breviceps",897400
"larimus effulgens",400700
"larimus fasciatus",381300
"larimus pacificus",393300
"larsonia pterophylla",4984700
"lasaea hinemoa",185300
"lasaea undulata",563800
"lasiognathus beebei",159310800
"lateolabrax japonicus",780100
"lateolabrax latus",137700
"laternula anatina",3089400
"laternula elliptica",729300
