"sciname","total_hab_area"
"Polytelis anthopeplus",311300
"Polytelis swainsonii",39300
"Polytmus guainumbi",2113300
"Polytmus milleri",4700
"Polytmus theresiae",875100
"Pomatorhinus ferruginosus",56800
"Pomatorhinus melanurus",23800
"Pomatorhinus montanus",764900
"Pomatorhinus musicus",12600
"Pomatorhinus ochraceiceps",524500
"Pomatorhinus phayrei",390500
"Pomatorhinus ruficollis",436800
"Pomatorhinus schisticeps",947400
"Pomatorhinus superciliaris",154700
"Pomatostomus halli",469400
"Pomatostomus ruficeps",319900
"Pomatostomus superciliosus",2518200
"Pomatostomus temporalis",2885100
"Poodytes albolimbatus",700
"Poodytes carteri",1527300
"Pooecetes gramineus",5610800
"Poospiza baeri",9100
"Poospiza boliviana",11900
"Poospiza garleppi",500
"Poospiza goeringi",2200
"Poospiza hispaniolensis",27000
"Poospiza nigrorufa",95800
"Poospiza ornata",410100
"Poospiza rubecula",4400
"Poospiza rufosuperciliaris",3400
"Poospiza whitii",46200
"Poospizopsis caesar",6700
"Poospizopsis hypocondria",7300
"Porphyrio alleni",820500
"Porphyrio flavirostris",136200
"Porphyrio hochstetteri",500
"Porphyrio martinicus",377100
"Porphyriops melanops",88500
"Porphyrolaema porphyrolaema",2049500
"Porzana albicollis",316200
"Porzana carolina",517600
"Porzana fasciata",1247400
"Porzana porzana",3384700
"Premnoplex brunnescens",223100
"Premnoplex tatei",1500
"Premnornis guttuliger",109700
"Primolius auricollis",711300
"Primolius couloni",565900
"Primolius maracana",2697600
"Prinia atrogularis",82400
"Prinia bairdii",27400
"Prinia buchanani",317000
"Prinia cinereocapilla",16000
"Prinia crinigera",1368900
"Prinia erythroptera",3097200
"Prinia familiaris",404100
"Prinia flavicans",1876200
"Prinia flaviventris",3447800
"Prinia fluviatilis",64200
"Prinia gracilis",538200
"Prinia hodgsonii",3839800
"Prinia hypoxantha",107600
"Prinia khasiana",113100
"Prinia maculosa",94800
"Prinia molleri",800
"Prinia polychroa",462100
"Prinia rufescens",1967300
"Prinia rufifrons",766900
"Prinia socialis",2352600
"Prinia somalica",1012600
"Prinia sonitans",681300
"Prinia subflava",14142900
"Prinia superciliaris",1283300
"Prinia sylvatica",20500
"Prioniturus discurus",105400
"Prioniturus flavicans",12300
"Prioniturus luconensis",20100
"Prioniturus mada",5700
"Prioniturus mindorensis",5700
"Prioniturus montanus",7700
"Prioniturus platenae",7100
"Prioniturus platurus",120800
"Prioniturus verticalis",700
"Prioniturus waterstradti",6900
"Prionochilus maculatus",1196900
"Prionochilus olivaceus",95100
"Prionochilus percussus",1241500
"Prionochilus plateni",8100
"Prionochilus thoracicus",768100
"Prionochilus xanthopygius",314900
"Prionodura newtoniana",5500
"Prionops alberti",12800
"Prionops caniceps",387900
"Prionops gabela",300
"Prionops plumatus",8727200
"Prionops poliolophus",16900
"Prionops retzii",3913300
"Prionops rufiventris",1701400
"Prionops scopifrons",551000
"Priotelus temnurus",36900
"Probosciger aterrimus",621700
"Procarduelis nipalensis",461000
"Procnias albus",73100
"Procnias averano",340900
"Procnias nudicollis",316700
"Procnias tricarunculatus",10300
"Prodotiscus insignis",1866500
"Prodotiscus regulus",2640400
"Prodotiscus zambesiae",3189200
"Progne chalybea",14816500
"Progne cryptoleuca",53400
"Progne dominicensis",18000
"Progne elegans",3423200
"Progne modesta",3600
"Progne murphyi",51900
"Progne sinaloae",67300
"Progne subis",6927700
"Progne tapera",5910900
"Promerops cafer",11900
"Promerops gurneyi",12300
"Prosopeia personata",6400
"Prosopeia splendens",500
"Prosthemadera novaeseelandiae",46000
"Protonotaria citrea",1323800
"Prunella atrogularis",516600
"Prunella collaris",3015000
"Prunella fulvescens",497600
"Prunella himalayana",644500
"Prunella immaculata",180000
"Prunella koslowi",410400
"Prunella modularis",7815500
"Prunella montanella",3658800
"Prunella ocularis",102100
"Prunella rubeculoides",329200
"Prunella rubida",24400
"Prunella strophiata",518500
"Psalidoprocne albiceps",1027800
"Psalidoprocne fuliginosa",3300
"Psalidoprocne nitens",2170100
"Psalidoprocne obscura",1068600
"Psalidoprocne pristoptera",6800200
"Psaltria exilis",7900
"Psaltriparus minimus",941500
"Psarisomus dalhousiae",889200
"Psarocolius angustifrons",1965500
"Psarocolius atrovirens",75400
"Psarocolius bifasciatus",107800
"Psarocolius cassini",2500
"Psarocolius decumanus",6859500
"Psarocolius guatimozinus",39700
"Psarocolius montezuma",182300
"Psarocolius oleagineus",5000
"Psarocolius viridis",4349600
"Psarocolius wagleri",268600
"Psarocolius yuracares",3718500
"Pselliophorus luteoviridis",1100
"Pselliophorus tibialis",5200
"Psephotellus chrysopterygius",2600
"Psephotellus dissimilis",67100
"Psephotellus varius",1456300
"Psephotus haematonotus",1138200
"Pseudasthenes cactorum",4100
"Pseudasthenes humicola",15400
"Pseudasthenes patagonica",283400
"Pseudasthenes steinbachi",127700
"Pseudastur albicollis",6423600
"Pseudastur occidentalis",3600
"Pseudastur polionotus",316300
"Pseudelaenia leucospodia",15400
"Pseudeos fuscata",720500
"Pseudhirundo griseopyga",3708300
"Pseudibis davisoni",39000
"Pseudibis papillosa",970400
"Pseudobias wardi",53900
"Pseudocalyptomena graueri",7200
"Pseudochelidon eurystomina",307100
"Pseudocolaptes boissonneauii",119900
"Pseudocolaptes johnsoni",5800
"Pseudocolaptes lawrencii",3800
"Pseudocolopteryx acutipennis",84900
"Pseudocolopteryx citreola",13300
"Pseudocolopteryx dinelliana",428700
"Pseudocolopteryx flaviventris",90600
"Pseudocolopteryx sclateri",71000
"Pseudoleistes guirahuro",541500
"Pseudoleistes virescens",385700
"Pseudonestor xanthophrys",100
"Pseudonigrita arnaudi",291100
"Pseudonigrita cabanisi",77500
"Pseudopipra pipra",142300
"Pseudopodoces humilis",1928600
"Pseudorectes ferrugineus",559300
"Pseudorectes incertus",700
"Pseudosaltator rufiventris",6700
"Pseudoscops grammicus",4500
"Pseudoseisura cristata",466600
"Pseudoseisura gutturalis",477900
"Pseudoseisura lophotes",672300
"Pseudoseisura unirufa",46300
"Pseudospingus verticalis",14500
"Pseudospingus xanthophthalmus",18400
"Pseudotriccus pelzelni",89700
"Pseudotriccus ruficeps",67100
"Pseudotriccus simplex",31400
"Psilopogon annamensis",58000
"Psilopogon armillaris",19300
"Psilopogon asiaticus",1098700
"Psilopogon auricularis",16200
"Psilopogon australis",68200
"Psilopogon chersonesus",300
"Psilopogon chrysopogon",232900
"Psilopogon corvinus",5500
"Psilopogon cyanotis",1132800
"Psilopogon duvaucelii",1030700
"Psilopogon eximius",111000
"Psilopogon faber",5300
"Psilopogon faiostrictus",288500
"Psilopogon flavifrons",20000
"Psilopogon franklinii",348500
"Psilopogon haemacephalus",3303600
"Psilopogon henricii",157600
"Psilopogon incognitus",243700
"Psilopogon javensis",20200
"Psilopogon lagrandieri",185400
"Psilopogon lineatus",1403000
"Psilopogon malabaricus",83800
"Psilopogon monticola",32800
"Psilopogon mystacophanos",1018100
"Psilopogon nuchalis",12100
"Psilopogon oorti",58300
"Psilopogon pulcherrimus",3500
"Psilopogon pyrolophus",103600
"Psilopogon rafflesii",547400
"Psilopogon rubricapillus",48400
"Psilopogon virens",1623800
"Psilopogon viridis",139700
"Psilopogon zeylanicus",815000
"Psilopsiagon aurifrons",84200
"Psilopsiagon aymara",33900
"Psilorhamphus guttatus",112000
"Psiloscops flammeolus",207300
"Psittacara acuticaudatus",2279000
"Psittacara chloropterus",6000
"Psittacara erythrogenys",65300
"Psittacara euops",22900
"Psittacara finschi",71500
"Psittacara frontatus",39800
"Psittacara holochlorus",94000
"Psittacara leucophthalmus",6988100
"Psittacara mitratus",75500
"Psittacara rubritorquis",27000
"Psittacara wagleri",87100
"Psittacella brehmii",85300
"Psittacella lorentzi",14300
"Psittacella madaraszi",94700
"Psittacella modesta",37500
"Psittacella picta",14400
"Psittacula alexandri",2005200
"Psittacula caniceps",1000
"Psittacula derbiana",140400
"Psittaculirostris cervicalis",168900
"Psittaculirostris desmarestii",77100
"Psittaculirostris edwardsii",79500
"Psittaculirostris godmani",135000
"Psittaculirostris salvadorii",45600
"Psittacus erithacus",2529800
"Psittacus timneh",214200
"Psitteuteles goldiei",262800
"Psitteuteles versicolor",9500
"Psittinus abbotti",2000
"Psittinus cyanurus",1031300
"Psittrichas fulgidus",169400
"Psophia crepitans",2360900
"Psophia dextralis",744600
"Psophia leucoptera",1359500
"Psophia obscura",123000
"Psophia ochroptera",161000
"Psophia viridis",571800
"Psophocichla litsitsirupa",1404100
"Psophocichla simensis",170900
"Psophodes cristatus",165800
"Psophodes nigrogularis",17100
"Psophodes occidentalis",822000
"Psophodes olivaceus",279300
"Pteridophora alberti",29900
"Pternistis adspersus",1003900
"Pternistis afer",3822600
"Pternistis ahantensis",342300
"Pternistis atrifrons",400
"Pternistis bicalcaratus",2701500
"Pternistis camerunensis",100
"Pternistis capensis",15600
"Pternistis castaneicollis",61600
"Pternistis clappertoni",2082900
"Pternistis erckelii",15700
"Pternistis griseostriatus",16000
"Pternistis hartlaubi",286200
"Pternistis harwoodi",20900
"Pternistis hildebrandti",8100
"Pternistis icterorhynchus",435400
"Pternistis jacksoni",7600
"Pternistis leucoscepus",1602300
"Pternistis natalensis",906800
"Pternistis nobilis",7600
"Pternistis rufopictus",27300
"Pternistis squamatus",317600
"Pternistis swainsonii",1365100
"Pternistis swierstrai",2100
"Pterocles alchata",3840100
"Pterocles bicinctus",1413700
"Pterocles burchelli",1179600
"Pterocles coronatus",4238800
"Pterocles decoratus",1089100
"Pterocles exustus",6138800
"Pterocles gutturalis",652900
"Pterocles indicus",490300
"Pterocles lichtensteinii",3185800
"Pterocles namaqua",1437500
"Pterocles orientalis",5439200
"Pterocles personatus",219200
"Pterocles quadricinctus",3551600
"Pterocles senegallus",8194100
"Pteroglossus aracari",2547800
"Pteroglossus azara",2948300
"Pteroglossus bailloni",193200
"Pteroglossus beauharnaisii",1554600
"Pteroglossus bitorquatus",620000
"Pteroglossus castanotis",4784300
"Pteroglossus erythropygius",40400
"Pteroglossus frantzii",5800
"Pteroglossus humboldti",1853400
"Pteroglossus inscriptus",2627300
"Pteroglossus pluricinctus",1431200
"Pteroglossus sanguineus",92400
"Pteroglossus sturmii",1052300
"Pteroglossus torquatus",583000
"Pteroglossus viridis",1358900
"Pteronetta hartlaubii",3898800
"Pterophanes cyanopterus",60300
"Pteroptochos castaneus",7600
"Pteroptochos megapodius",17500
"Pteroptochos tarnii",158300
"Pterorhinus albogularis",357600
"Pterorhinus berthemyi",155800
"Pterorhinus caerulatus",186400
"Pterorhinus chinensis",818200
"Pterorhinus davidi",96000
"Pterorhinus delesserti",39800
"Pterorhinus galbanus",32600
"Pterorhinus gularis",265500
"Pterorhinus koslowi",4000
"Pterorhinus lanceolatus",924000
"Pterorhinus mitratus",52800
"Pterorhinus monachus",15800
"Pterorhinus nuchalis",43100
"Pterorhinus pectoralis",1447100
"Pterorhinus perspicillatus",721800
"Pterorhinus poecilorhynchus",8700
"Pterorhinus ruficeps",6200
"Pterorhinus ruficollis",271800
"Pterorhinus sannio",212500
"Pterorhinus treacheri",212700
"Pterorhinus vassali",39900
"Pterorhinus waddelli",11600
"Pterorhinus woodi",13800
"Pteruthius aenobarbus",705200
"Pteruthius aeralatus",1930700
"Pteruthius flaviscapis",20400
"Pteruthius melanotis",643600
"Pteruthius rufiventer",83600
"Pteruthius xanthochlorus",454700
"Ptilinopus alligator",24800
"Ptilinopus arcanus",100
"Ptilinopus aurantiifrons",389400
"Ptilinopus cinctus",31500
"Ptilinopus coronulatus",570400
"Ptilinopus dohertyi",5500
"Ptilinopus eugeniae",2900
"Ptilinopus gestroi",190500
"Ptilinopus granulifrons",1900
"Ptilinopus greyi",21000
"Ptilinopus hyogastrus",18500
"Ptilinopus insolitus",36100
"Ptilinopus iozonus",559900
"Ptilinopus melanospilus",329000
"Ptilinopus monacha",21200
"Ptilinopus nainus",239500
"Ptilinopus ornatus",18200
"Ptilinopus pelewensis",400
"Ptilinopus perlatus",573400
"Ptilinopus porphyreus",7500
"Ptilinopus pulchellus",298300
"Ptilinopus regina",333000
"Ptilinopus richardsii",900
"Ptilinopus rivoli",128500
"Ptilinopus solomonensis",16900
"Ptilinopus speciosus",3200
"Ptilinopus superbus",1153400
"Ptilinopus tannensis",6100
"Ptilinopus temminckii",139800
"Ptilinopus viridis",15100
"Ptilinopus wallacii",10600
"Ptiliogonys caudatus",3800
"Ptiliogonys cinereus",236500
"Ptilocichla falcata",3300
"Ptilocichla leucogrammica",434100
"Ptilocichla mindanensis",26700
"Ptilonorhynchus violaceus",276700
"Ptilopachus nahani",1800
"Ptilopachus petrosus",577200
"Ptiloprora erythropleura",32300
"Ptiloprora guisei",30300
"Ptiloprora mayri",1200
"Ptiloprora meekiana",72800
"Ptiloprora perstriata",76500
"Ptiloprora plumbea",115700
"Ptilopsis granti",6123700
"Ptilopsis leucotis",4979500
"Ptilorrhoa caerulescens",356100
"Ptilorrhoa castanonota",227900
"Ptilorrhoa geislerorum",26600
"Ptilorrhoa leucosticta",99200
"Ptilostomus afer",3392900
"Ptilotula flavescens",993800
"Ptilotula fusca",607200
"Ptilotula keartlandi",2133700
"Ptilotula ornata",176800
"Ptilotula penicillata",2365000
"Ptilotula plumula",2820300
"Ptiloxena atroviolacea",47300
"Ptyonoprogne concolor",53300
"Ptyonoprogne fuligula",2463000
"Ptyonoprogne obsoleta",6140600
"Ptyonoprogne rufigula",4364700
"Ptyonoprogne rupestris",3621500
"Pucrasia macrolopha",167500
"Pulsatrix koeniswaldiana",210900
"Pulsatrix melanota",72900
"Pulsatrix perspicillata",10623000
"Purnella albifrons",1465400
"Purpureicephalus spurius",73200
"Pycnonotus aurigaster",2131600
"Pycnonotus barbatus",17966600
"Pycnonotus bimaculatus",39500
"Pycnonotus blanfordi",1042300
"Pycnonotus brunneus",1055000
"Pycnonotus cafer",1836400
"Pycnonotus capensis",24600
"Pycnonotus cinereifrons",10100
"Pycnonotus davisoni",99400
"Pycnonotus finlaysoni",1093500
"Pycnonotus flavescens",372800
"Pycnonotus goiavier",2052000
"Pycnonotus jocosus",4202800
"Pycnonotus leucogenys",155500
"Pycnonotus leucops",30500
"Pycnonotus leucotis",1891100
"Pycnonotus luteolus",1162700
"Pycnonotus nieuwenhuisii",16200
"Pycnonotus nigricans",1341200
"Pycnonotus penicillatus",4000
"Pycnonotus plumosus",1108400
"Pycnonotus pseudosimplex",55200
"Pycnonotus simplex",1078700
"Pycnonotus sinensis",2112800
"Pycnonotus snouckaerti",9100
"Pycnonotus taivanus",3300
"Pycnonotus tympanistrigus",54700
"Pycnonotus xantholaemus",46300
"Pycnonotus xanthopygos",164300
"Pycnonotus xanthorrhous",157700
"Pycnonotus zeylanicus",529000
"Pycnoptilus floccosus",121900
"Pycnopygius cinereus",92400
"Pycnopygius ixoides",419300
"Pycnopygius stictocephalus",581900
"Pygarrhichas albogularis",113800
"Pygiptila stellaris",4092200
"Pygochelidon cyanoleuca",2238400
"Pygochelidon melanoleuca",37000
"Pyrenestes minor",172200
"Pyrenestes sanguineus",41100
"Pyrgilauda blanfordi",616700
"Pyrgilauda davidiana",1531500
"Pyrgilauda ruficollis",1131500
"Pyrgilauda theresae",13400
"Pyriglena atra",3600
"Pyriglena leuconota",1160800
"Pyriglena leucoptera",384100
"Pyrilia aurantiocephala",332700
"Pyrilia barrabandi",2948000
"Pyrilia caica",1117000
"Pyrilia haematotis",202200
"Pyrilia pulchra",80300
"Pyrilia pyrilia",88700
"Pyrilia vulturina",739100
"Pyrocephalus nanus",4400
"Pyrocephalus rubinus",13883000
"Pyroderus scutatus",292100
"Pyrrhocorax graculus",1875500
"Pyrrholaemus brunneus",1393700
"Pyrrholaemus sagittatus",438800
"Pyrrhomyias cinnamomeus",244800
"Pyrrhoplectes epauletta",23700
"Pyrrhula aurantiaca",8900
"Pyrrhula erythaca",334500
"Pyrrhula erythrocephala",35300
"Pyrrhula leucogenis",11100
"Pyrrhula murina",200
"Pyrrhula nipalensis",431000
"Pyrrhula pyrrhula",1538100
"Pyrrhula waterstradti",500
"Pyrrhura albipectus",6100
"Pyrrhura amazonum",269500
"Pyrrhura caeruleiceps",11100
"Pyrrhura calliptera",2300
"Pyrrhura chapmani",3500
"Pyrrhura cruentata",8100
"Pyrrhura devillei",136600
"Pyrrhura egregia",22100
"Pyrrhura eisenmanni",1300
"Pyrrhura emma",21900
"Pyrrhura frontalis",393200
"Pyrrhura griseipectus",300
"Pyrrhura hoematotis",3100
"Pyrrhura hoffmanni",6300
"Pyrrhura lepida",333800
"Pyrrhura leucotis",40400
"Pyrrhura lucianii",2900
"Pyrrhura melanura",1231800
"Pyrrhura molinae",417000
"Pyrrhura orcesi",1200
"Pyrrhura pacifica",14900
"Pyrrhura parvifrons",41100
"Pyrrhura perlata",859600
"Pyrrhura peruviana",30900
"Pyrrhura pfrimeri",4300
"Pyrrhura picta",1040800
"Pyrrhura rhodocephala",5100
"Pyrrhura roseifrons",584200
"Pyrrhura rupicola",452500
"Pyrrhura snethlageae",217900
"Pyrrhura viridicata",600
"Pyrrhurus scandens",2966800
"Pyrroglaux podargina",400
"Pytilia hypogrammica",515300
"Pytilia lineata",111500
"Pytilia melba",4438500
"Pytilia phoenicoptera",1010100
"Quelea cardinalis",310100
"Quelea erythrops",343300
"Quelea quelea",8707900
"Querula purpurata",4514500
"Quiscalus nicaraguensis",2400
"Quiscalus quiscula",6518300
"Quoyornis georgianus",29400
"Rallicula forbesi",102900
"Rallicula leucospila",3400
"Rallicula mayri",200
"Rallicula rubra",47500
"Rallina canningi",4300
"Rallina eurizonoides",2040700
"Rallina fasciata",252800
"Rallina tricolor",643900
"Rallus antarcticus",33400
"Rallus aquaticus",1995700
"Rallus caerulescens",464300
"Rallus elegans",81900
"Rallus indicus",618500
"Rallus limicola",162400
"Rallus madagascariensis",55700
"Rallus semiplumbeus",600
"Rallus tenuirostris",4600
"Ramphastos ambiguus",188200
"Ramphastos ariel",2148500
"Ramphastos brevis",92600
"Ramphastos citreolaemus",50100
"Ramphastos culminatus",4981000
"Ramphastos cuvieri",4610400
"Ramphastos dicolorus",786700
"Ramphastos sulfuratus",358200
"Ramphastos toco",3598400
"Ramphastos tucanus",2195100
"Ramphastos vitellinus",1583100
"Ramphiculus epius",54300
"Ramphiculus fischeri",26200
"Ramphiculus jambu",911600
"Ramphiculus leclancheri",84000
"Ramphiculus mangoliensis",3500
"Ramphiculus marchei",17600
"Ramphiculus meridionalis",600
"Ramphiculus merrilli",27400
"Ramphiculus occipitalis",103700
"Ramphiculus subgularis",700
"Ramphocaenus melanurus",6437300
"Ramphocelus bresilius",115300
"Ramphocelus carbo",7156000
"Ramphocelus costaricensis",16700
"Ramphocelus dimidiatus",249300
"Ramphocelus flammigerus",1700
"Ramphocelus icteronotus",151000
"Ramphocelus melanogaster",42500
"Ramphocelus passerinii",123400
"Ramphocelus sanguinolentus",159900
"Ramphocinclus brachyurus",200
"Ramphocoris clotbey",888600
"Ramphodon naevius",64900
"Ramphomicron dorsale",1900
"Ramphomicron microrhynchum",51000
"Ramphotrigon fuscicauda",406100
"Ramphotrigon megacephalum",1808900
"Ramphotrigon ruficauda",5867700
"Ramsayornis fasciatus",916400
"Ramsayornis modestus",280900
"Randia pseudozosterops",47000
"Recurvirostra andina",4300
"Regulus goodfellowi",13500
"Regulus ignicapilla",1163700
"Regulus madeirensis",600
"Regulus regulus",5890500
"Regulus satrapa",143200
"Reinwardtoena browni",37400
"Reinwardtoena crassirostris",28700
"Reinwardtoena reinwardti",576300
"Remiz consobrinus",92500
"Remiz coronatus",2224600
"Rhabdornis grandis",10600
"Rhabdornis inornatus",49100
"Rhabdornis mystacalis",94700
"Rhabdornis rabori",4400
"Rhabdotorrhinus corrugatus",160700
"Rhabdotorrhinus exarhatus",44300
"Rhabdotorrhinus leucocephalus",14900
"Rhabdotorrhinus waldeni",2600
"Rhagologus leucostigma",60100
"Rhamphocharis crassirostris",32500
"Rhamphocharis piperata",69700
"Rhamphococcyx calyorhynchus",136400
"Rhaphidura leucopygialis",948800
"Rhaphidura sabini",168800
"Rhea americana",3232000
"Rhegmatorhina berlepschi",43800
"Rhegmatorhina cristata",259900
"Rhegmatorhina gymnops",52100
"Rhegmatorhina hoffmannsi",458400
"Rhegmatorhina melanosticta",1785700
"Rheinardia nigrescens",700
"Rheinardia ocellata",35300
"Rhinocrypta lanceolata",609200
"Rhinoplax vigil",812100
"Rhinopomastus aterrimus",4109000
"Rhinopomastus castaneiceps",418500
"Rhinopomastus cyanomelas",4788700
"Rhinopomastus minor",1648300
"Rhinoptilus bitorquatus",100
"Rhinoptilus chalcopterus",6484200
"Rhinoptilus cinctus",1446900
"Rhinortha chlorophaea",1194500
"Rhipidura albicollis",2989900
"Rhipidura albiscapa",3870500
"Rhipidura albiventris",4900
"Rhipidura albogularis",939200
"Rhipidura albolimbata",103300
"Rhipidura assimilis",1600
"Rhipidura atra",155000
"Rhipidura aureola",2104300
"Rhipidura bouruensis",6300
"Rhipidura brachyrhyncha",95400
"Rhipidura cinerea",17100
"Rhipidura cockerelli",23200
"Rhipidura coultasi",3700
"Rhipidura cyaniceps",44200
"Rhipidura dahli",11900
"Rhipidura dedemi",3300
"Rhipidura diluta",22800
"Rhipidura drownei",2300
"Rhipidura dryas",159600
"Rhipidura euryura",3500
"Rhipidura fuliginosa",143500
"Rhipidura fuscorufa",3900
"Rhipidura hoedti",1000
"Rhipidura hyperythra",430400
"Rhipidura isura",981200
"Rhipidura kordensis",2900
"Rhipidura lepida",400
"Rhipidura leucophrys",5082000
"Rhipidura leucothorax",534700
"Rhipidura maculipectus",117500
"Rhipidura matthiae",600
"Rhipidura melanolaema",200
"Rhipidura nigrocinnamomea",6700
"Rhipidura obiensis",3000
"Rhipidura ocularis",1100
"Rhipidura opistherythra",2900
"Rhipidura perlata",873000
"Rhipidura personata",500
"Rhipidura phasiana",112200
"Rhipidura phoenicura",3100
"Rhipidura rennelliana",700
"Rhipidura rufidorsa",447900
"Rhipidura rufifrons",569700
"Rhipidura rufiventris",12600
"Rhipidura samarensis",11400
"Rhipidura sauli",900
"Rhipidura semirubra",200
"Rhipidura spilodera",7000
"Rhipidura superciliaris",35300
"Rhipidura superflua",2400
"Rhipidura tenebrosa",3200
"Rhipidura tenkatei",1200
"Rhipidura teysmanni",56800
"Rhipidura threnothorax",537200
"Rhipidura verreauxi",13200
"Rhizothera dulitensis",2100
"Rhizothera longirostris",809900
"Rhodopechys alienus",8200
"Rhodopechys sanguineus",382800
"Rhodophoneus cruentus",716000
"Rhodopis vesper",50600
"Rhodospingus cruentus",42900
"Rhodospiza obsoleta",1699700
"Rhopias gularis",128500
"Rhopophilus albosuperciliaris",25400
"Rhopophilus pekinensis",484300
"Rhopornis ardesiacus",1900
"Rhopospina fruticeti",59800
"Rhynchocyclus aequinoctialis",2266300
"Rhynchocyclus brevirostris",286900
"Rhynchocyclus fulvipectus",104400
"Rhynchocyclus olivaceus",2157900
"Rhynchocyclus pacificus",79700
"Rhynchophanes mccownii",308000
"Rhynchopsitta pachyrhyncha",42500
"Rhynchopsitta terrisi",4000
"Rhynchortyx cinctus",120100
"Rhynchospiza stolzmanni",27200
"Rhynchostruthus louisae",7100
"Rhynchostruthus percivali",46900
"Rhynchotus maculicollis",13800
"Rhynchotus rufescens",3249700
"Rhynochetos jubatus",1700
"Rhyticeros cassidix",98800
"Rhyticeros everetti",9000
"Rhyticeros plicatus",659700
"Rhyticeros subruficollis",54900
"Rhyticeros undulatus",1803300
"Rhytipterna holerythra",263000
"Rhytipterna immunda",862900
"Rhytipterna simplex",5644600
"Riccordia bicolor",1900
"Riccordia maugaeus",5100
"Riccordia ricordii",30400
"Riccordia swainsonii",8300
"Ridgwayia pinicola",84000
"Rigidipenna inexpectata",13800
"Riparia chinensis",1289900
"Riparia congica",94900
"Riparia cowani",18000
"Riparia diluta",3580500
"Riparia paludicola",2446300
"Riparia riparia",16282300
"Robsonius rabori",4500
"Robsonius sorsogonensis",7100
"Robsonius thompsoni",9500
"Rollandia microptera",3500
"Rollandia rolland",4000
"Rollulus rouloul",653000
"Roraimia adusta",17200
"Rostrhamus sociabilis",298000
"Rougetius rougetii",46700
"Rubigula dispar",349700
"Rubigula flaviventris",1703200
"Rubigula gularis",70800
"Rubigula melanictera",44200
"Rubigula montis",228000
"Rufirallus castaneiceps",339400
"Rufirallus viridis",1579900
"Rupicola peruvianus",131300
"Rupicola rupicola",1765200
"Rupornis magnirostris",12554400
"Rynchops albicollis",11300
"Sagittarius serpentarius",10758300
"Sakesphorus canadensis",1371000
"Sakesphorus cristatus",1025500
"Sakesphorus luctuosus",997500
"Sakesphorus pulchellus",183800
"Salpinctes obsoletus",1624500
"Salpornis salvadori",1777700
"Salpornis spilonota",122400
"Saltator albicollis",2900
"Saltator atriceps",347900
"Saltator atricollis",744000
"Saltator atripennis",52200
"Saltator aurantiirostris",1509800
"Saltator cinctus",23500
"Saltator coerulescens",5385800
"Saltator fuliginosus",221200
"Saltator grandis",426900
"Saltator grossus",5349000
"Saltator maxillosus",37700
"Saltator maximus",6519200
"Saltator multicolor",401500
"Saltator nigriceps",4400
"Saltator olivascens",1000400
"Saltator orenocensis",77700
"Saltator similis",969300
"Saltator striatipectus",436900
"Salvadorina waigiuensis",9600
"Sapayoa aenigma",91000
"Sappho sparganurus",38800
"Sarcogyps calvus",714900
"Sarcophanops samarensis",7400
"Sarcophanops steerii",47400
"Sarcops calvus",146300
"Sarcoramphus papa",11899300
"Sarkidiornis melanotos",3297300
"Sarkidiornis sylvicola",1491800
"Saroglossa spilopterus",28300
"Sarothrura affinis",307100
"Sarothrura ayresi",15700
"Sarothrura boehmi",38700
"Sarothrura elegans",4119000
"Sarothrura insularis",107800
"Sarothrura lugens",84600
"Sarothrura pulchra",2853700
"Sarothrura rufa",269300
"Sarothrura watersi",6500
"Sasia abnormis",682400
"Sasia ochracea",875800
"Satrapa icterophrys",3456200
"Saucerottia beryllina",211300
"Saucerottia castaneiventris",3300
"Saucerottia cupreicauda",101100
"Saucerottia cyanocephala",116000
"Saucerottia cyanura",31400
"Saucerottia edward",27700
"Saucerottia saucerottei",151000
"Saucerottia tobaci",382800
"Saucerottia viridigaster",13300
"Saxicola caprata",5239600
"Saxicola dacotiae",600
"Saxicola ferreus",300800
"Saxicola gutturalis",9900
"Saxicola insignis",85000
"Saxicola jerdoni",63700
"Saxicola leucurus",290400
"Saxicola macrorhynchus",56000
"Saxicola rubetra",11801600
"Saxicola tectes",2500
"Saxicola torquatus",32241600
"Sayornis nigricans",1365700
"Sayornis phoebe",3689700
"Sayornis saya",4418800
"Scelorchilus albicollis",16200
"Scelorchilus rubecula",91800
"Scenopoeetes dentirostris",3800
"Scepomycter winifredae",1300
"Schetba rufa",90000
"Schiffornis aenea",38100
"Schiffornis major",2688700
"Schiffornis olivacea",1214700
"Schiffornis stenorhyncha",162000
"Schiffornis turdina",4487300
"Schiffornis veraepacis",308100
"Schiffornis virescens",342000
"Schistes albogularis",30800
"Schistes geoffroyi",217100
"Schistochlamys melanopis",2437400
"Schistolais leontica",3400
"Schistolais leucopogon",2216900
"Schoenicola platyurus",9400
"Schoenicola striatus",17300
"Schoeniophylax phryganophilus",785800
"Schoeniparus brunneus",439300
"Schoeniparus castaneceps",805300
"Schoeniparus cinereus",156600
"Schoeniparus dubius",902800
"Schoeniparus klossi",6800
"Schoeniparus rufogularis",307700
"Schoeniparus variegaticeps",6400
"Schoutedenapus myoptilus",122700
"Sciaphylax castanea",196900
"Sciaphylax hemimelaena",2044500
"Scissirostrum dubium",82600
"Sclateria naevia",4546100
"Scleroptila afra",33500
"Scleroptila elgonensis",9700
"Scleroptila finschi",245200
"Scleroptila gutturalis",1277800
